prompt_idx,token_pos,token_text,layer_000,layer_001,layer_002,layer_003,layer_004,layer_005,layer_006,layer_007,layer_008,layer_009,layer_010,layer_011,layer_012,layer_013,layer_014,layer_015,layer_016,layer_017,layer_018,layer_019,layer_020,layer_021,layer_022,layer_023,layer_024,layer_025,layer_026,layer_027,layer_028
0,0,Important,1.1783716678619385,46.49882888793945,1863.08203125,4860.958984375,4872.49169921875,4974.73828125,4992.052734375,5009.322265625,5034.45703125,5060.6533203125,5076.70654296875,5092.81103515625,5100.6103515625,5108.57080078125,5124.1796875,5132.34033203125,5132.33544921875,5124.48779296875,5116.44580078125,5116.5029296875,5116.33642578125,5100.06494140625,5096.26806640625,5071.140625,5027.6962890625,4920.806640625,4560.82080078125,2347.838623046875,106.19465637207031
0,1,:,1.267741084098816,38.50210189819336,44.76914978027344,54.13816833496094,57.81260299682617,72.96104431152344,68.5606689453125,67.67373657226562,68.38147735595703,71.5300521850586,81.74327087402344,87.9072265625,90.88655853271484,97.43546295166016,102.38748931884766,115.87054443359375,118.34036254882812,122.83745574951172,126.98779296875,135.9885711669922,150.7507781982422,177.24142456054688,230.4697723388672,254.95870971679688,318.555908203125,378.9713439941406,430.33343505859375,517.1995849609375,119.33841705322266
0,2, only,1.2666904926300049,38.137393951416016,44.768898010253906,52.55857849121094,57.85862350463867,65.02857208251953,61.62189483642578,61.57754898071289,68.15372467041016,69.02371978759766,75.36205291748047,78.58168029785156,84.06282806396484,87.07231140136719,92.85137939453125,95.54661560058594,103.32764434814453,107.94808197021484,116.54902648925781,132.60385131835938,164.99935913085938,181.1632537841797,237.8286590576172,270.63726806640625,321.9562072753906,387.05828857421875,421.6227722167969,520.749267578125,118.70730590820312
0,3, reply,1.29439115524292,35.469139099121094,49.46641540527344,53.35702133178711,59.78044509887695,71.6247329711914,67.60200500488281,72.39515686035156,78.3514404296875,82.41334533691406,87.3476791381836,89.5701675415039,93.30047607421875,95.82955932617188,105.55400085449219,110.3266830444336,120.29936981201172,124.10892486572266,132.82412719726562,148.7262725830078,165.66464233398438,176.6045684814453,218.17013549804688,242.69920349121094,284.898681640625,338.3919677734375,367.1341857910156,457.8430480957031,89.1662368774414
0,4, with,1.093935251235962,29.396379470825195,35.70683670043945,40.861846923828125,46.899330139160156,63.18809509277344,56.97604751586914,64.44827270507812,72.56703186035156,69.29127502441406,80.11357879638672,88.2651138305664,87.004638671875,90.72632598876953,99.53092956542969,102.36799621582031,111.82984924316406,115.21739196777344,119.26270294189453,135.1161651611328,149.439453125,164.62838745117188,208.00311279296875,237.75086975097656,273.0972595214844,328.0058898925781,350.6977233886719,424.43841552734375,94.6165771484375
0,5, a,1.1554327011108398,31.67827606201172,39.127716064453125,44.482810974121094,52.913124084472656,61.818180084228516,61.50901794433594,63.24978256225586,67.27364349365234,66.2881851196289,73.75804901123047,79.5561752319336,89.35774230957031,90.83990478515625,94.28053283691406,97.70512390136719,108.1028823852539,109.6672592163086,115.5425796508789,126.38809967041016,153.39111328125,165.61964416503906,206.96710205078125,236.45184326171875,270.1685791015625,327.984619140625,348.7591247558594,429.4622497558594,91.90447998046875
0,6, single,1.2509706020355225,29.112485885620117,36.98015213012695,41.922786712646484,45.58225631713867,60.65977096557617,57.22158432006836,57.4839973449707,62.75920104980469,65.50675201416016,70.3590087890625,72.38042449951172,81.73932647705078,83.59789276123047,88.78624725341797,89.57035827636719,102.59321594238281,102.77590942382812,107.60492706298828,116.7994384765625,141.77511596679688,151.866455078125,192.14639282226562,222.29701232910156,250.1350555419922,307.9478454589844,344.6665344238281,445.88592529296875,94.92352294921875
0,7, token,1.2459791898727417,31.451393127441406,38.570743560791016,40.9358024597168,48.187625885009766,67.14547729492188,60.889102935791016,60.59296798706055,69.7092056274414,76.72434997558594,85.15156555175781,87.00387573242188,93.0924301147461,96.65265655517578,102.73043823242188,108.02751922607422,113.29952239990234,110.8126220703125,116.50719451904297,124.35649871826172,147.74737548828125,158.86131286621094,188.34864807128906,203.50364685058594,225.13795471191406,277.2077941894531,316.3586120605469,398.6329650878906,92.65751647949219
0,8,".
",1.1500991582870483,28.654705047607422,34.94682312011719,40.66655349731445,47.398963928222656,55.06760025024414,60.441993713378906,60.54850769042969,61.834590911865234,63.98749542236328,67.91792297363281,81.70268249511719,82.0043716430664,84.80521392822266,99.34322357177734,101.92314147949219,107.34667205810547,105.30487823486328,110.87565612792969,123.220947265625,134.09539794921875,158.5657196044922,206.03651428222656,218.83108520507812,254.3050079345703,317.587646484375,338.2884826660156,416.3266296386719,109.89197540283203
0,9,This,0.9119386076927185,25.952184677124023,33.34944152832031,38.01301574707031,45.53899383544922,53.25756072998047,53.52800369262695,60.70835876464844,65.39173126220703,65.16323852539062,71.21245574951172,74.13541412353516,77.56692504882812,82.29007720947266,94.97913360595703,93.8299331665039,96.21513366699219,101.04795837402344,103.11775207519531,112.64332580566406,132.40516662597656,152.32394409179688,206.46385192871094,231.165771484375,277.25323486328125,355.7054443359375,372.7967224121094,451.4426574707031,108.03166961669922
